,name,city,country,code_iata,code_icao,latitude,longitude,altitude,tz,dst,tz_region
0,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.081689,145.391881,5282,10.0,U,Pacific/Port_Moresby
1,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.207083,145.7887,20,10.0,U,Pacific/Port_Moresby
2,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789,144.295861,5388,10.0,U,Pacific/Port_Moresby
3,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569828,146.726242,239,10.0,U,Pacific/Port_Moresby
4,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.443383,147.22005,146,10.0,U,Pacific/Port_Moresby
5,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.583828,143.669186,19,10.0,U,Pacific/Port_Moresby
6,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.160517,-45.425978,112,-3.0,E,America/Godthab
7,Nuuk,Godthaab,Greenland,GOH,BGGH,64.190922,-51.678064,283,-3.0,E,America/Godthab
8,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.016969,-50.689325,165,-3.0,E,America/Godthab
9,Thule Air Base,Thule,Greenland,THU,BGTL,76.531203,-68.703161,251,-4.0,E,America/Thule
10,Akureyri,Akureyri,Iceland,AEY,BIAR,65.659994,-18.072703,6,0.0,N,Atlantic/Reykjavik
11,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.283333,-14.401389,76,0.0,N,Atlantic/Reykjavik
12,Hornafjordur,Hofn,Iceland,HFN,BIHN,64.295556,-15.227222,24,0.0,N,Atlantic/Reykjavik
13,Husavik,Husavik,Iceland,HZK,BIHU,65.952328,-17.425978,48,0.0,N,Atlantic/Reykjavik
14,Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.058056,-23.135278,8,0.0,N,Atlantic/Reykjavik
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.605556,171,0.0,N,Atlantic/Reykjavik
16,Patreksfjordur,Patreksfjordur,Iceland,PFJ,BIPA,65.555833,-23.965,11,0.0,N,Atlantic/Reykjavik
17,Reykjavik,Reykjavik,Iceland,RKV,BIRK,64.13,-21.940556,48,0.0,N,Atlantic/Reykjavik
18,Siglufjordur,Siglufjordur,Iceland,SIJ,BISI,66.133333,-18.916667,10,0.0,N,Atlantic/Reykjavik
19,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,BIVM,63.424303,-20.278875,326,0.0,N,Atlantic/Reykjavik
20,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485001,-84.509445,630,-5.0,A,America/Toronto
21,Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV,50.056389,-97.0325,760,-6.0,A,America/Winnipeg
22,Shearwater,Halifax,Canada,YAW,CYAW,44.639721,-63.499444,167,-4.0,A,America/Halifax
23,St Anthony,St. Anthony,Canada,YAY,CYAY,51.391944,-56.083056,108,-3.5,A,America/St_Johns
24,Tofino,Tofino,Canada,YAZ,CYAZ,49.082222,-125.7725,80,-8.0,A,America/Vancouver
25,Kugaaruk,Pelly Bay,Canada,YBB,CYBB,68.534444,-89.808056,56,-7.0,A,America/Edmonton
26,Baie Comeau,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.204444,71,-5.0,A,America/Toronto
27,Bagotville,Bagotville,Canada,YBG,CYBG,48.330555,-70.996391,522,-5.0,A,America/Toronto
28,Baker Lake,Baker Lake,Canada,YBK,CYBK,64.298889,-96.077778,59,-6.0,A,America/Winnipeg
29,Campbell River,Campbell River,Canada,YBL,CYBL,49.950832,-125.270833,346,-8.0,A,America/Vancouver
30,Brandon Muni,Brandon,Canada,YBR,CYBR,49.91,-99.951944,1343,-6.0,A,America/Winnipeg
